python full_graph.py --dataset-root /home/ksadowski/datasets/ --dataset ogbn-products --lr 0.021542537754776225 --hidden-feats 256 --num-layers 4 --aggregator-type mean --batch-norm --input-dropout 0.1 --dropout 0.3 --activation relu --test-validation
Epoch: 057 Train Loss: 0.35 Valid Loss: 0.38 Train Score: 0.9043 Valid Score: 0.8989 Train Epoch Time: 48.03 Valid Epoch Time: 14.65
Epoch: 058 Train Loss: 0.35 Valid Loss: 0.38 Train Score: 0.9045 Valid Score: 0.8998 Train Epoch Time: 48.09 Valid Epoch Time: 14.67
Epoch: 059 Train Loss: 0.34 Valid Loss: 0.38 Train Score: 0.9057 Valid Score: 0.8998 Train Epoch Time: 48.13 Valid Epoch Time: 14.70
Epoch: 060 Train Loss: 0.34 Valid Loss: 0.38 Train Score: 0.9058 Valid Score: 0.9001 Train Epoch Time: 48.07 Valid Epoch Time: 14.65
Epoch: 061 Train Loss: 0.34 Valid Loss: 0.37 Train Score: 0.9073 Valid Score: 0.9005 Train Epoch Time: 48.06 Valid Epoch Time: 14.65
Epoch: 062 Train Loss: 0.34 Valid Loss: 0.37 Train Score: 0.9072 Valid Score: 0.9006 Train Epoch Time: 48.20 Valid Epoch Time: 14.69
Epoch: 063 Train Loss: 0.34 Valid Loss: 0.37 Train Score: 0.9072 Valid Score: 0.9009 Train Epoch Time: 48.06 Valid Epoch Time: 14.66
Epoch: 064 Train Loss: 0.33 Valid Loss: 0.37 Train Score: 0.9078 Valid Score: 0.9009 Train Epoch Time: 48.05 Valid Epoch Time: 14.65
Epoch: 065 Train Loss: 0.33 Valid Loss: 0.37 Train Score: 0.9087 Valid Score: 0.9018 Train Epoch Time: 48.18 Valid Epoch Time: 14.63
Epoch: 066 Train Loss: 0.33 Valid Loss: 0.37 Train Score: 0.9087 Valid Score: 0.9020 Train Epoch Time: 48.03 Valid Epoch Time: 14.66
Epoch: 067 Train Loss: 0.33 Valid Loss: 0.36 Train Score: 0.9091 Valid Score: 0.9019 Train Epoch Time: 48.17 Valid Epoch Time: 14.66
Epoch: 068 Train Loss: 0.33 Valid Loss: 0.36 Train Score: 0.9095 Valid Score: 0.9022 Train Epoch Time: 48.10 Valid Epoch Time: 14.65
Epoch: 069 Train Loss: 0.33 Valid Loss: 0.36 Train Score: 0.9092 Valid Score: 0.9030 Train Epoch Time: 48.08 Valid Epoch Time: 14.63
Epoch: 070 Train Loss: 0.32 Valid Loss: 0.36 Train Score: 0.9108 Valid Score: 0.9029 Train Epoch Time: 48.04 Valid Epoch Time: 14.65
Epoch: 071 Train Loss: 0.32 Valid Loss: 0.36 Train Score: 0.9108 Valid Score: 0.9036 Train Epoch Time: 48.11 Valid Epoch Time: 14.64
